ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
ES,2021-11-01,421194.034,1.0,0.8741022112524884,0.0,3681.6663648575577,0.118249,311.3486257691445,210.5312724692801
ES,2021-12-01,427865.7772222222,1.0,0.8652395778923669,0.0,3702.0640447834503,0.118249,313.07360271828514,211.7993921279047
ES,2022-01-01,431941.0692222222,1.0,0.8607781525864796,0.0,3718.054355913331,0.118249,314.42586033821266,211.38688029191695
ES,2022-02-01,437306.0401111111,1.0,0.8626635296585837,0.0,3772.479721032693,0.118249,319.02846713567914,213.1598600677242
ES,2022-03-01,442089.51811111113,1.0,0.865418089469969,0.0,3825.9226613841706,0.118249,323.54799291192063,214.9094116788655
ES,2022-04-01,449089.614,1.0,0.8771978665409242,0.0,3939.404512864872,0.118249,333.1448479788304,220.5536355822598
ES,2022-05-01,446893.16244444443,1.0,0.8756758394593698,0.0,3913.335451721914,0.118249,330.94025756851335,216.0294864291163
ES,2022-06-01,449613.19166666665,1.0,0.8857815189503772,0.0,3982.5905585462706,0.118249,336.7969757500081,218.1921638278972
ES,2022-07-01,456172.0417777777,1.0,0.9040412984770291,0.0806451612903225,3756.1029709239506,0.118249,317.6435294103079,216.09164877424365
ES,2022-08-01,455928.45211111114,1.0,0.9044249539727538,0.5,1843.88843259905,0.118249,155.93268717697822,165.2443918244466
ES,2022-09-01,457663.575,1.0,0.9118016281622607,0.925,-60.40414039439092,0.118249,-5.108215747650375,114.54500901731053
ES,2022-10-01,453953.29277777777,1.0,0.9100501810195373,1.25,-1543.2133970539053,0.118249,-130.5054078304176,72.73304130608119
ES,2022-11-01,453763.8618888889,1.0,0.9136892738054219,1.975,-4815.844537821529,0.118249,-407.2630244502303,-13.638642753500449
ES,2022-12-01,453832.24611111113,1.0,0.9168532026214237,2.177419354838709,-5720.855682324114,0.118249,-483.79738368393083,-37.31327657690002
ES,2023-01-01,449595.70822222217,1.0,0.9152027280188731,2.5,-7125.180518850004,0.118249,-602.5573593730182,-72.92199599466448
ES,2023-02-01,451213.58211111114,1.0,0.9240331369168653,2.875,-8803.027468718188,0.118249,-744.4483647826355,-117.43309241847669
ES,2023-03-01,453970.20855555555,1.0,0.9391430178074848,3.161290322580645,-10087.88675389037,0.118249,-853.105459994619,-154.17760313914084
ES,2023-04-01,455091.1486666666,1.0,0.9450813509834602,3.5,-11627.208627308251,0.118249,-983.2817721340773,-198.61532024253188
ES,2023-05-01,452322.92333333334,1.0,0.9464499199502375,3.6774193548387095,-12352.800783227349,0.118249,-1044.643149897872,-214.63324591656078
ES,2023-06-01,453063.4257777778,1.0,0.9504053381357406,3.8333333333333335,-13061.492337748823,0.118249,-1104.575289241247,-235.71589467432648
ES,2023-07-01,445735.9542222222,1.0,0.9505590984439175,4.0,-13592.45450099374,0.118249,-1149.47733181623,-249.74915977217336
ES,2023-08-01,446538.7212222222,1.0,0.9551629447043641,4.241935483870968,-14676.712065877715,0.118249,-1241.17007889096,-279.90130665416507
ES,2023-09-01,447026.7822222222,1.0,0.9581056697502972,4.341666666666667,-15125.42384904139,0.118249,-1279.116427964836,-295.73865800252497
ES,2023-10-01,440582.2771111111,1.0,0.9544680750582181,4.5,-15620.985290609913,0.118249,-1321.0247266877445,-306.77534569250747
ES,2023-11-01,440151.22088888887,1.0,0.9564445988303967,4.5,-15597.002361122171,0.118249,-1318.9965548226344,-307.2167836502532
ES,2023-12-01,440347.70866666664,1.0,0.9579503004042041,4.5,-15597.334692004637,0.118249,-1319.0246591518435,-307.40379833691975
ES,2024-01-01,435222.2638888889,1.0,0.9559293634572461,4.5,-15424.58445818273,0.118249,-1304.415636342187,-298.3132518814584
ES,2024-02-01,436722.89588888886,1.0,0.963506985162046,4.5,-15444.674707308584,0.118249,-1306.1146146951419,-304.60449547309827
ES,2024-03-01,438146.19155555556,1.0,0.9706902489215493,4.5,-15463.536262549089,0.118249,-1307.7096857097386,-311.2522706047964
ES,2024-04-01,431506.86388888885,1.0,0.9691245409239272,4.5,-15235.969961281568,0.118249,-1288.4650154573455,-299.5665227290889
ES,2024-05-01,427753.83044444444,1.0,0.9685275261876524,4.5,-15106.008777823497,0.118249,-1277.4745475922414,-291.0074607241181
ES,2024-06-01,428481.92144444445,1.0,0.9724308443516336,4.341666666666667,-14436.566389449981,0.118249,-1220.8616047027865,-283.9154370413047
ES,2024-07-01,422568.80322222225,1.0,0.9714967520612441,4.25,-13853.931938416488,0.118249,-1171.5897756781442,-265.1104724122481
ES,2024-08-01,422823.94622222224,1.0,0.9726710341205282,4.25,-13857.33166421553,0.118249,-1171.8772813483013,-268.26813936493124
ES,2024-09-01,422795.5421111111,1.0,0.9738317158315417,3.99,-12752.225048033431,0.118249,-1078.42138606106,-244.71883762212042
ES,2024-10-01,414952.49255555554,1.0,0.9736548163238633,3.577419354838709,-10804.38585284501,0.118249,-913.6978623789637,-189.5626587078541
ES,2024-11-01,415452.9995555555,1.0,0.9759625876501367,3.4,-10070.736139956378,0.118249,-851.6550786861941,-175.82374106644704
ES,2024-12-01,411796.1203333333,1.0,0.9736460527505657,3.287096774193548,-9526.700316725712,0.118249,-805.6474318366929,-160.71625335228134
ES,2025-01-01,402400.1368888889,1.0,0.9729092116894965,3.0,-8157.016107023523,0.118249,-689.8169208216156,-116.73702116616926
ES,2025-02-01,402400.1368888889,1.0,0.9729092116894965,2.7857142857142856,-7294.7300994044745,0.118249,-616.8957115412793,-99.07786954552694
ES,2025-03-01,402362.8026666667,1.0,0.9728946020321688,2.588709677419355,-6501.438823238396,0.118249,-549.8092011973374,-83.83350295906035
ES,2025-04-01,392201.4917777778,1.0,0.9714592509849466,2.433333333333333,-5733.491958883072,0.118249,-484.86599961801545,-60.44049050098437
ES,2025-05-01,392201.4917777778,1.0,0.9714592509849466,2.25,-5014.4558906238135,0.118249,-424.0590525605978,-46.05725155222581
ES,2025-06-01,388986.0808888889,1.0,0.9734509220264738,2.083333333333333,-4317.288094217651,0.118249,-365.10144645769947,-28.866255761371065
ES,2025-07-01,379442.52,1.0,0.9728825592061547,2.0,-3897.3203007076745,0.118249,-329.58589930635134,-17.452985226656722
ES,2025-08-01,379442.52,1.0,0.9728825592061547,2.0,-3897.3203007076745,0.118249,-329.58589930635134,-18.529535397436746
ES,2025-09-01,379134.9506666667,1.0,0.9728528642122718,2.0,-3894.273786542883,0.118249,-329.3282637944408,-20.595153736529824
ES,2025-10-01,368895.36877777777,1.0,0.972024737260097,2.0,-3792.1531364286952,0.118249,-320.6921949808197,-16.82649080853531
ES,2025-11-01,368895.36877777777,1.0,0.972024737260097,2.0,-3792.1531364286952,0.118249,-320.6921949808197,-18.959795395412243
ES,2025-12-01,368895.36877777777,1.0,0.972024737260097,2.0,-3792.1531364286952,0.118249,-320.6921949808197,-19.237002541335528
ES,2026-01-01,368895.36877777777,1.0,0.972024737260097,2.0,-3792.1531364286952,0.116851,-324.52894168031895,-20.818072698541698
ES,2026-02-01,361129.63544444443,1.0,0.9720505402640767,2.0,-3712.230136497476,0.116851,-317.6892056120594,-17.84568226328372
ES,2026-03-01,361047.85188888886,1.0,0.972075787376377,2.0,-3711.298288723365,0.116851,-317.60945894544034,-21.698042824682545
ES,2026-04-01,351754.9986666667,1.0,0.9709646017106518,2.0,-3619.6834515322244,0.116851,-309.7691463087371,-17.915458512639077
ES,2026-05-01,351530.098,1.0,0.9709678618214351,2.0,-3617.357683790605,0.116851,-309.5701092665535,-21.24458915137774
ES,2026-06-01,349984.16111111105,1.0,0.9722765162737963,2.1166666666666667,-4005.1842676906695,0.116851,-342.7599479414527,-32.54098112511207
ES,2026-07-01,340738.36344444443,1.0,0.9721147191215703,2.25,-4354.245392762604,0.116851,-372.63227467138523,-38.696278158548694
ES,2026-08-01,340738.36344444443,1.0,0.9721147191215703,2.25,-4354.245392762604,0.116851,-372.63227467138523,-39.59228070058401
FI,2015-03-01,688.0,1.0,0.18518536967508856,0.05,0.9300753433646092,0.018165,0.5120150527743513,-1.2448798591695032
