month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2015-03-01,LT,PSPP,34.666666666666664,34.666666666666664,0.7188821186333549,0.7188821186333549,single_maturity_ea_slope
2015-04-01,LT,PSPP,108.44444444444444,74.33120476798636,0.200995485248263,0.3639064664461078,single_maturity_ea_slope
2015-05-01,LT,PSPP,217.77777777777777,110.81481481481481,0.3887413601412826,0.3765435416052852,single_maturity_ea_slope
2015-06-01,LT,PSPP,336.0,121.30340187386028,0.60418989625044,0.4587288905417153,single_maturity_ea_slope
2015-07-01,LT,PSPP,448.0,116.92091388400704,0.8050785835857079,0.5491206821357978,single_maturity_ea_slope
2015-08-01,LT,PSPP,575.1111111111111,133.8378378378378,0.878578730529777,0.6257910020156113,single_maturity_ea_slope
2015-09-01,LT,PSPP,686.2222222222222,119.88875322208654,0.854784252544781,0.6657980353251864,single_maturity_ea_slope
2015-10-01,LT,PSPP,787.5555555555555,112.02215299411566,0.8971974614183779,0.6987123633744328,single_maturity_ea_slope
2015-11-01,LT,PSPP,891.5555555555555,115.67787004085936,0.7738636003955213,0.7084631130336821,single_maturity_ea_slope
2015-12-01,LT,PSPP,984.0,104.82716049382717,0.7072430712818596,0.7083331399518452,single_maturity_ea_slope
2016-01-01,LT,PSPP,1080.888888888889,110.05100766898522,0.7205587975466667,0.7095778987346921,single_maturity_ea_slope
2016-02-01,LT,PSPP,1177.7777777777776,110.8322440087144,0.7968052888515289,0.7177862446281877,single_maturity_ea_slope
2016-03-01,LT,PSPP,1288.888888888889,125.84807029251493,0.8129607619991732,0.7270791553324498,single_maturity_ea_slope
2016-04-01,LT,PSPP,1381.3333333333333,108.74298881582635,0.7357070502440384,0.7277583708825525,single_maturity_ea_slope
2016-05-01,LT,PSPP,1481.7777777777776,117.99186991869908,0.3004976689347706,0.6937362051289268,single_maturity_ea_slope
2016-06-01,LT,PSPP,1575.111111111111,112.01434414747591,0.37977825059894676,0.67140902191088,single_maturity_ea_slope
2016-07-01,LT,PSPP,1639.111111111111,84.2248473434914,0.41393913817984096,0.6581790697094742,single_maturity_ea_slope
2016-08-01,LT,PSPP,1681.7777777777776,63.975963482983616,0.433922277992919,0.6496481897637141,single_maturity_ea_slope
2016-09-01,LT,PSPP,1746.6666666666665,86.82130643945983,0.31485178988754525,0.6330065137168762,single_maturity_ea_slope
2016-10-01,LT,PSPP,1857.7777777777776,133.19844882819083,-0.1907168006782936,0.5739474222294676,single_maturity_ea_slope
2016-11-01,LT,PSPP,1945.7777777777776,111.45679012345678,-0.3105180744748122,0.5232840389986275,single_maturity_ea_slope
2016-12-01,LT,PSPP,2012.4444444444443,91.34675009865276,-0.447607929686437,0.47921433745675623,single_maturity_ea_slope
2017-01-01,LT,PSPP,2074.6666666666665,87.32756708804608,-0.44644950388115007,0.44025098372664,single_maturity_ea_slope
2017-02-01,LT,PSPP,2132.4444444444443,83.62066101976421,-0.4929402601118625,0.40365726665657525,single_maturity_ea_slope
2017-03-01,LT,PSPP,2199.111111111111,92.87665246367297,-0.457303451957011,0.3672956889975244,single_maturity_ea_slope
2017-04-01,LT,PSPP,2249.777777777778,77.73598118059004,-0.41184044185003593,0.3403744027251937,single_maturity_ea_slope
2017-05-01,LT,PSPP,2296.0,73.91520323868916,-0.42416359963943756,0.31576160576156864,single_maturity_ea_slope
2017-06-01,LT,PSPP,2329.777777777778,61.587855297157674,-0.3778314252432257,0.2974264204764789,single_maturity_ea_slope
2017-07-01,LT,PSPP,2382.222222222222,80.95371730026639,-0.4333064414432061,0.27259433681357087,single_maturity_ea_slope
2017-08-01,LT,PSPP,2385.777777777778,32.36811266999956,-0.4061711166356535,0.2633854503538219,single_maturity_ea_slope
2017-09-01,LT,PSPP,2411.555555555555,54.549820442728866,-0.4179405233937275,0.2479737342748472,single_maturity_ea_slope
2017-10-01,LT,PSPP,2464.8888888888887,82.54306632213624,-0.4273172897288943,0.22535989880650253,single_maturity_ea_slope
2017-11-01,LT,PSPP,2526.222222222222,91.36365605371468,-0.4164987551436295,0.20214636170008973,single_maturity_ea_slope
2017-12-01,LT,PSPP,2581.333333333333,85.93373461309014,-0.36453263278610143,0.18328136596546069,single_maturity_ea_slope
2018-01-01,LT,PSPP,2645.333333333333,95.4950382300309,-0.35584295251259584,0.1638192827734995,single_maturity_ea_slope
2018-02-01,LT,PSPP,2466.6666666666665,0.0,-0.19236459076665752,0.1638192827734995,single_maturity_ea_slope
2018-03-01,LT,PSPP,2469.333333333333,27.52223565766477,-0.16764702931102232,0.16012488727386373,single_maturity_ea_slope
2018-04-01,LT,PSPP,2506.6666666666665,62.675424192665716,-0.17597499806119787,0.15172121591037385,single_maturity_ea_slope
2018-05-01,LT,PSPP,2484.4444444444443,3.159173754556548,-0.17642433430880466,0.15130395207811348,single_maturity_ea_slope
2018-06-01,LT,PSPP,2538.6666666666665,79.16644355198567,-0.1672714962522523,0.14136941219603846,single_maturity_ea_slope
2018-07-01,LT,PSPP,2576.0,63.291070211315756,-0.15197069006022773,0.1341621882023677,single_maturity_ea_slope
2018-08-01,LT,PSPP,2612.4444444444443,63.17752871177519,-0.1578686888443009,0.12709991778411034,single_maturity_ea_slope
2018-09-01,LT,PSPP,2757.333333333333,170.2622809289474,-0.09543892528329151,0.1133583905781342,single_maturity_ea_slope
2018-10-01,LT,PSPP,2768.8888888888887,38.49316139116853,-0.10390540810152754,0.11033798390865944,single_maturity_ea_slope
2018-11-01,LT,PSPP,2793.777777777778,51.87611002815706,-0.10415243257691792,0.10635523032886628,single_maturity_ea_slope
2018-12-01,LT,PSPP,2812.4444444444443,46.18614832326401,-0.07638696760571645,0.10335422589110815,single_maturity_ea_slope
2019-01-01,LT,PSPP,2832.0,47.25890902723064,-0.07917329710917326,0.1003083037144005,single_maturity_ea_slope
2019-02-01,LT,PSPP,2841.777777777778,37.9400689472289,-0.055319180800952605,0.0982305488882601,single_maturity_ea_slope
2019-03-01,LT,PSPP,2854.222222222222,40.2396105025212,-0.0203301571169211,0.09655904742162306,single_maturity_ea_slope
2019-04-01,LT,PSPP,2817.777777777778,0.0,-0.026669723648118093,0.09655904742162306,single_maturity_ea_slope
2019-05-01,LT,PSPP,2854.222222222222,64.90684624017948,-0.03544778540722948,0.09355712727176015,single_maturity_ea_slope
2019-06-01,LT,PSPP,2855.111111111111,28.74039378957392,0.028350032001502212,0.09290073334416545,single_maturity_ea_slope
2019-07-01,LT,PSPP,2956.4444444444443,128.03657978966635,0.06446785225253615,0.09166937286472894,single_maturity_ea_slope
2019-08-01,LT,PSPP,2973.333333333333,44.50888556718133,0.12708676401573554,0.092199548406151,single_maturity_ea_slope
2019-09-01,LT,PSPP,3088.8888888888887,142.54659888646827,0.14024593364403942,0.09441680161622472,single_maturity_ea_slope
2019-10-01,LT,PSPP,3160.8888888888887,99.01022113404065,0.15229575820879626,0.09622977527416701,single_maturity_ea_slope
2019-11-01,LT,PSPP,3228.4444444444443,95.51812534402778,0.14124565277199724,0.09756163410070139,single_maturity_ea_slope
2019-12-01,LT,PSPP,3293.333333333333,93.60148622475177,0.12830008242306,0.09843526703001783,single_maturity_ea_slope
2020-01-01,LT,PSPP,3358.222222222222,94.59066859066884,0.13430422052810362,0.09944558381923448,single_maturity_ea_slope
2020-02-01,LT,PSPP,3390.222222222222,62.651900531418605,0.14450135507633555,0.10027822236447885,single_maturity_ea_slope
2020-03-01,LT,PSPP,3412.4444444444443,52.76476476476471,0.16699765709544862,0.10130986854542962,single_maturity_ea_slope
2020-04-01,LT,PSPP,3470.222222222222,88.89050976578334,0.15392305529190248,0.10265756696092229,single_maturity_ea_slope
2020-05-01,LT,PSPP,3442.6666666666665,3.673946084313151,0.1441408987950316,0.10270183715589407,single_maturity_ea_slope
2020-06-01,LT,PSPP,3499.555555555555,88.2428658166361,0.001205111654366292,0.10014255161603716,single_maturity_ea_slope
