month,ncb,programme,holdings_eur_m
2020-11-01,CY,PSPP,3139
2020-12-01,CY,PSPP,3274
2021-01-01,CY,PSPP,3359
2021-02-01,CY,PSPP,3424
2021-03-01,CY,PSPP,3521
2021-04-01,CY,PSPP,3607
2021-05-01,CY,PSPP,3673
2021-06-01,CY,PSPP,3759
2021-07-01,CY,PSPP,3834
2021-08-01,CY,PSPP,3897
2021-09-01,CY,PSPP,3987
2021-10-01,CY,PSPP,4037
2021-11-01,CY,PSPP,4090
2021-12-01,CY,PSPP,4141
2022-01-01,CY,PSPP,4228
2022-02-01,CY,PSPP,4273
2022-03-01,CY,PSPP,4338
2022-04-01,CY,PSPP,4444
2022-05-01,CY,PSPP,4197
2022-06-01,CY,PSPP,4238
2022-07-01,CY,PSPP,4293
2022-08-01,CY,PSPP,4326
2022-09-01,CY,PSPP,4396
2022-10-01,CY,PSPP,4450
2022-11-01,CY,PSPP,4481
2022-12-01,CY,PSPP,4505
2023-01-01,CY,PSPP,4521
2023-02-01,CY,PSPP,4535
2023-03-01,CY,PSPP,4539
2023-04-01,CY,PSPP,4552
2023-05-01,CY,PSPP,4570
2023-06-01,CY,PSPP,4578
2023-07-01,CY,PSPP,4293
2023-08-01,CY,PSPP,4293
2023-09-01,CY,PSPP,4293
2023-10-01,CY,PSPP,4293
2023-11-01,CY,PSPP,4293
2023-12-01,CY,PSPP,4293
2024-01-01,CY,PSPP,4293
2024-02-01,CY,PSPP,4293
2024-03-01,CY,PSPP,4293
2024-04-01,CY,PSPP,4293
2024-05-01,CY,PSPP,4293
2024-06-01,CY,PSPP,3989
2024-07-01,CY,PSPP,3989
2024-08-01,CY,PSPP,3989
2024-09-01,CY,PSPP,3989
2024-10-01,CY,PSPP,3989
2024-11-01,CY,PSPP,3989
2024-12-01,CY,PSPP,3664
2025-01-01,CY,PSPP,3664
2025-02-01,CY,PSPP,3664
2025-03-01,CY,PSPP,3664
2025-04-01,CY,PSPP,3664
2025-05-01,CY,PSPP,3664
2025-06-01,CY,PSPP,3664
2025-07-01,CY,PSPP,3664
2025-08-01,CY,PSPP,3664
2025-09-01,CY,PSPP,3664
2025-10-01,CY,PSPP,3664
2025-11-01,CY,PSPP,3361
2025-12-01,CY,PSPP,3361
2026-01-01,CY,PSPP,3361
2026-02-01,CY,PSPP,3036
2026-03-01,CY,PSPP,3036
2026-04-01,CY,PSPP,3036
2026-05-01,CY,PSPP,3036
2026-06-01,CY,PSPP,3036
2026-07-01,CY,PSPP,3036
2026-08-01,CY,PSPP,3036
2015-03-01,DE,PSPP,11070
2015-04-01,DE,PSPP,22218
2015-05-01,DE,PSPP,34362
2015-06-01,DE,PSPP,46332
2015-07-01,DE,PSPP,58307
2015-08-01,DE,PSPP,68233
2015-09-01,DE,PSPP,80084
2015-10-01,DE,PSPP,92279
2015-11-01,DE,PSPP,105182
2015-12-01,DE,PSPP,115625
2016-01-01,DE,PSPP,127972
2016-02-01,DE,PSPP,140412
2016-03-01,DE,PSPP,152823
2016-04-01,DE,PSPP,171808
2016-05-01,DE,PSPP,191381
2016-06-01,DE,PSPP,208269
2016-07-01,DE,PSPP,225516
2016-08-01,DE,PSPP,237884
2016-09-01,DE,PSPP,255072
2016-10-01,DE,PSPP,273088
2016-11-01,DE,PSPP,290378
2016-12-01,DE,PSPP,303946
2017-01-01,DE,PSPP,321659
2017-02-01,DE,PSPP,338619
2017-03-01,DE,PSPP,355596
2017-04-01,DE,PSPP,368086
2017-05-01,DE,PSPP,380005
2017-06-01,DE,PSPP,391897
2017-07-01,DE,PSPP,404066
2017-08-01,DE,PSPP,413869
2017-09-01,DE,PSPP,425545
2017-10-01,DE,PSPP,437096
2017-11-01,DE,PSPP,448658
2017-12-01,DE,PSPP,459318
2018-01-01,DE,PSPP,464141
2018-02-01,DE,PSPP,469219
2018-03-01,DE,PSPP,473984
2018-04-01,DE,PSPP,478702
2018-05-01,DE,PSPP,485595
2018-06-01,DE,PSPP,491584
2018-07-01,DE,PSPP,497930
2018-08-01,DE,PSPP,503352
2018-09-01,DE,PSPP,509670
2018-10-01,DE,PSPP,512545
2018-11-01,DE,PSPP,515049
2018-12-01,DE,PSPP,518557
2019-01-01,DE,PSPP,517057
2019-02-01,DE,PSPP,515355
2019-03-01,DE,PSPP,511467
2019-04-01,DE,PSPP,513651
2019-05-01,DE,PSPP,518505
2019-06-01,DE,PSPP,517386
2019-07-01,DE,PSPP,517805
2019-08-01,DE,PSPP,519135
