month,ncb,programme,wam_years
2017-06-01,ES,PSPP,8.52
2017-06-01,FI,PSPP,7.3
2017-06-01,FR,PSPP,7.64
2017-06-01,IE,PSPP,8.73
2017-06-01,IT,PSPP,8.58
2017-06-01,LT,PSPP,6.88
2017-06-01,LU,PSPP,5.65
2017-06-01,LV,PSPP,7.94
2017-06-01,MT,PSPP,11.03
2017-06-01,NL,PSPP,7.65
2017-06-01,PT,PSPP,8.85
2017-06-01,SI,PSPP,9.45
2017-06-01,SK,PSPP,8.22
2017-07-01,AT,PSPP,9.17
2017-07-01,BE,PSPP,10.32
2017-07-01,CY,PSPP,4.6
2017-07-01,DE,PSPP,7.0
2017-07-01,EE,PSPP,0.95
2017-07-01,ES,PSPP,8.5
2017-07-01,FI,PSPP,7.27
2017-07-01,FR,PSPP,7.75
2017-07-01,IE,PSPP,8.66
2017-07-01,IT,PSPP,8.55
2017-07-01,LT,PSPP,6.81
2017-07-01,LU,PSPP,5.69
2017-07-01,LV,PSPP,7.85
2017-07-01,MT,PSPP,10.97
2017-07-01,NL,PSPP,7.7
2017-07-01,PT,PSPP,8.73
2017-07-01,SI,PSPP,9.56
2017-07-01,SK,PSPP,8.22
2017-08-01,AT,PSPP,9.15
2017-08-01,BE,PSPP,10.22
2017-08-01,CY,PSPP,4.52
2017-08-01,DE,PSPP,6.89
2017-08-01,EE,PSPP,0.86
2017-08-01,ES,PSPP,8.46
2017-08-01,FI,PSPP,7.22
2017-08-01,FR,PSPP,7.73
2017-08-01,IE,PSPP,8.67
2017-08-01,IT,PSPP,8.47
2017-08-01,LT,PSPP,6.89
2017-08-01,LU,PSPP,5.7
2017-08-01,LV,PSPP,7.82
2017-08-01,MT,PSPP,10.94
2017-08-01,NL,PSPP,7.63
2017-08-01,PT,PSPP,8.64
2017-08-01,SI,PSPP,9.59
2017-08-01,SK,PSPP,8.2
2017-09-01,AT,PSPP,9.13
2017-09-01,BE,PSPP,10.26
2017-09-01,CY,PSPP,4.45
2017-09-01,DE,PSPP,6.8
2017-09-01,EE,PSPP,0.78
2017-09-01,ES,PSPP,8.4
2017-09-01,FI,PSPP,7.5
2017-09-01,FR,PSPP,7.73
2017-09-01,IE,PSPP,8.63
2017-09-01,IT,PSPP,8.38
